Project ID,Outcome Payment Plan Id - (Value),Period - Start - (Value),Period - End - (Value),(In Sandboxes),Sources,Notes
INDIGO-POJ-0121,plan1,2018-10,2022-03,,,
INDIGO-POJ-0122,plan1,2018-10,2022-03,,,
INDIGO-POJ-0123,plan1,2018-10,2022-03,,,
INDIGO-POJ-0167,plan1,2018-11,2021-04,,,
INDIGO-POJ-0168,plan1,2019-03,2021-03,,,
INDIGO-POJ-0168,plan2,2021-03,2023-03,,,
INDIGO-POJ-0168,plan3,2023-03,2024-01,,,
INDIGO-POJ-0168,plan4,2024-01,current,,,
INDIGO-POJ-0169,plan1,2018-10,2021-04,,,
INDIGO-POJ-0169,plan2,2024-02,current,,,
INDIGO-POJ-0170,Plan1,2021-07,2022-09,,,
INDIGO-POJ-0170,Plan2,2022-09,2023-04,,,
INDIGO-POJ-0170,Plan3,2024-01,current,,,
INDIGO-POJ-0171,plan1,2018-09,2019-03,,,
INDIGO-POJ-0171,plan2,2023-04,2024-02,,,
INDIGO-POJ-0172,plan1,2018-10,2021-05,,,
INDIGO-POJ-0172,plan2,2021-05,2021-12,,,
INDIGO-POJ-0172,plan3,2021-12,2022-09,,,
INDIGO-POJ-0172,plan4,2023-04,current,,,
INDIGO-POJ-0173,plan1,2021-03,2021-12,,,
INDIGO-POJ-0173,plan2,2021-12,2022-09,,,
INDIGO-POJ-0173,plan3,2023-05,2024-02,,,
INDIGO-POJ-0173,plan4,2024-02,current,,,
INDIGO-POJ-0174,plan1,2019-04,2021-02,,,
INDIGO-POJ-0174,plan2,2021-02,2022-09,,,
INDIGO-POJ-0175,plan1,2020-03,2021-03,,,
INDIGO-POJ-0175,plan2,2021-03,2022-09,,,
INDIGO-POJ-0175,plan3,2022-12,2023-04,,,
INDIGO-POJ-0175,plan4,2023-04,current,,,no archive date found
INDIGO-POJ-0176,plan1,2019-06,2021-01,,,
INDIGO-POJ-0176,plan2,2022-09,current,,,no archive date found
INDIGO-POJ-0177,plan1,2019-12,2021-02,,,
INDIGO-POJ-0178,plan1,2020-01,current,,,no archive date found
INDIGO-POJ-0180,plan1,2019-01,2021-04,,,
INDIGO-POJ-0180,plan2,2021-04,2023-04,,,
INDIGO-POJ-0181,plan1,2019-09,2021-03,,,
INDIGO-POJ-0181,plan2,2021-03,2022-09,,,
INDIGO-POJ-0181,plan3,2022-09,2023-04,,,
INDIGO-POJ-0182,plan1,2019-09,2021-03,,,
INDIGO-POJ-0182,plan2,2021-03,2021-03,,,
INDIGO-POJ-0183,plan1,2019-03,2021-03,,,
INDIGO-POJ-0184,plan1,2021-12,2022-09,,,
INDIGO-POJ-0184,plan2,2022-12,2023-04,,,
INDIGO-POJ-0184,plan3,2023-04,2024-02,,,
INDIGO-POJ-0188,plan1,2020-03,2021-01,,,
INDIGO-POJ-0188,plan2,2021-01,2022-09,,,
INDIGO-POJ-0188,plan3,2022-09,2023-03,,,
INDIGO-POJ-0188,plan4,2023-03,2024-01,,,
INDIGO-POJ-0188,plan5,2024-01,current,,,no archive date found
INDIGO-POJ-0189,plan1,2020-03,2021-01,,,
INDIGO-POJ-0189,plan2,2021-01,2021-12,,,
INDIGO-POJ-0189,plan3,2021-12,2022-09,,,
INDIGO-POJ-0189,plan4,2022-09,current,,,
INDIGO-POJ-0190,plan1,2019-01,2021-03,,,
INDIGO-POJ-0190,plan2,2021-03,2021-12,,,
INDIGO-POJ-0190,plan3,2021-12,current,,,no archive date found
INDIGO-POJ-0192,plan1,2020-03,2021-04,,,
INDIGO-POJ-0192,plan2,2021-04,2021-12,,,
INDIGO-POJ-0192,plan3,2021-12,2022-09,,,
INDIGO-POJ-0192,plan4,2022-09,current,,,
INDIGO-POJ-0193,plan1,2021-01,2021-01,,,
INDIGO-POJ-0193,plan2,2021-01,2021-12,,,
INDIGO-POJ-0193,plan3,2021-12,2022-09,,,
INDIGO-POJ-0193,plan4,2022-09,2023-03,,,
INDIGO-POJ-0193,plan5,2023-03,current,,,no archive date found
INDIGO-POJ-0195,plan1,2020-08,2021-02,,,
INDIGO-POJ-0195,plan2,2021-02,2022-07,,,
INDIGO-POJ-0195,plan3,2022-07,2022-09,,,
INDIGO-POJ-0198,plan1,2020-08,2021-02,,,
INDIGO-POJ-0198,plan2,2021-02,2021-10,,,
INDIGO-POJ-0198,plan3,2024-01,current,,,no archive date found
INDIGO-POJ-0199,plan1,2020-04,2021-02,,,
INDIGO-POJ-0199,plan2,2021-12,2022-09,,,
INDIGO-POJ-0200,plan1,2020-12,2021-02,,,
INDIGO-POJ-0200,plan2,2021-02,2022-08,,,
INDIGO-POJ-0201,plan1,2021-04,2023-04,,,
INDIGO-POJ-0201,plan2,2023-08,2024-02,,,
INDIGO-POJ-0201,plan3,2024-02,current,,,
INDIGO-POJ-0228,plan1,2021-04,2023-04,,,
